model,item_instance_id,template_id,counterbalance,raw_prediction,parsed_prediction,parse_failed,correct_answer_number,model_correct,condition,base_context,physical_subcategory,required_components,provided_components,novelty,causal_type,causal_direction,vignette,option_1,option_2,option_3,option_4,condition_benchmark,inference_level,human_attempts_total,human_participants,valid_attempts,human_accuracy,median_rt_ms_all_valid,mean_rt_ms_all_valid,median_rt_ms_correct_valid,human_median_seconds_all_valid,human_median_seconds_correct_valid,time_bin
gpt-4.1,05.1.0.0.a__c1,05.1.0.0.a,1,3,3,0,3,1,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your neighbour, Nikhil, a pair of earbud headphones from a shop in Sevilla as today is their birthday. Nikhil is on their way back from The Works, and you want to display the pair of earbud headphones so that they can see them when they arrive, 'I wonder if I should have bought the gameboy,' you thought. You look around the room and see a metal filing cabinet directly in front of the entrance and a dining table with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. Inside the metal filing cabinet
2. Inside the dining table
3. On top of the metal filing cabinet
4. On top of the dining table
",Inside the metal filing cabinet,Inside the dining table,On top of the metal filing cabinet,On top of the dining table,A,3,10,9,10,0.5556,50251.100000000006,47459.18,44009.2,50.25110000000001,44.0092,4
gpt-4.1,05.1.0.0.a__c2,05.1.0.0.a,2,1,1,0,1,1,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your colleague, Chiara, a satchel from a shop in Belo Horizonte as tomorrow is their birthday. Chiara is on their way back from the coffee shop, and you want to hide the satchel so that they won't see it when they arrive. 'I need to put the satchel in the location that will be least visible when Chiara enters the room,' you thought. You look around the room and see a lidded wooden box directly in front of the entrance and a wooden bench with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. Inside the lidded wooden box
2. On top of the wooden bench
3. Inside the wooden bench
4. On top of the lidded wooden box
",Inside the lidded wooden box,On top of the wooden bench,Inside the wooden bench,On top of the lidded wooden box,B,0,10,9,10,1.0,26222.15,30452.2993,24999.9,26.222150000000003,24.9999,2
gpt-4.1,05.1.0.0.a__c3,05.1.0.0.a,3,4,4,0,4,1,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your partner, Anderson, a china bowl from a shop in Singapore as tomorrow is their birthday. Anderson is on their way back from the doctor's, and you want to hide the china bowl so that they won't see it when they arrive. You look around the room and see a shoe cabinet directly in front of the entrance and a desk with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. On top of the desk
2. Inside the desk
3. On top of the shoe cabinet
4. Inside the shoe cabinet
",On top of the desk,Inside the desk,On top of the shoe cabinet,Inside the shoe cabinet,B,2,8,8,8,0.6667,32525.75,32015.5625,28222.0,32.52575,28.222,3
gpt-4.1,05.1.0.0.a__c4,05.1.0.0.a,4,4,4,0,4,1,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your classmate, Frank, a nintendo from a shop in Hamburg as tomorrow is their birthday. Frank is on their way back from the book shop, and you want to hide the nintendo so that they won't see it when they arrive, 'I wonder if I should have bought the gameboy,' you thought. You look around the room and see a lidded wooden toy box directly in front of the entrance and a stone bench with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. On top of the lidded wooden toy box
2. On top of the stone bench
3. Inside the stone bench
4. Inside the lidded wooden toy box
",On top of the lidded wooden toy box,On top of the stone bench,Inside the stone bench,Inside the lidded wooden toy box,B,3,10,9,10,0.8,25627.2,29180.8,24759.0,25.627200000000002,24.759,2
gpt-4.1,05.1.0.0.a__c5,05.1.0.0.a,5,1,1,0,1,1,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your grandparent, Khaled, a diamond necklace from a shop in Belo Horizonte as today is their birthday. Khaled is on their way back from River Island, and you want to display the diamond necklace so that they can see it when they arrive. 'I need to put the diamond necklace in the location that will be most visible when Khaled enters the room,' you thought. You look around the room and see a storage chest directly in front of the entrance and an end table with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. On top of the storage chest
2. Inside the end table
3. On top of the end table
4. Inside the storage chest
",On top of the storage chest,Inside the end table,On top of the end table,Inside the storage chest,A,0,10,9,9,0.8889,43013.5,36774.7,43786.9,43.0135,43.7869,4
gpt-4.1,05.1.0.0.a__c6,05.1.0.0.a,6,2,2,0,2,1,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your child, Hayley, a gameboy from a shop in Pyongyang as today is their birthday. Hayley is on their way back from the bar, and you want to display the gameboy so that they can see it when they arrive. You look around the room and see a wooden TV cabinet directly in front of the entrance and a metal bar stool with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. Inside the metal bar stool
2. On top of the wooden TV cabinet
3. Inside the wooden TV cabinet
4. On top of the metal bar stool
",Inside the metal bar stool,On top of the wooden TV cabinet,Inside the wooden TV cabinet,On top of the metal bar stool,A,2,10,9,9,0.8889,38227.3,35936.18888888889,38520.15,38.2273,38.52015,4
gpt-4.1,05.1.0.0.b__c1,05.1.0.0.b,1,4,4,0,3,0,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a satchel from a shop in Chicago. You heard that Gianluca, your partner, will soon arrive at your place. You want to display the satchel so that Gianluca can see it when they arrive. 'I wonder if I should have stolen the gameboy,' you thought. You look around the room and see a lidded wicker basket directly in front of the entrance and a metal stool with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the metal stool
2. Inside the lidded wicker basket
3. On top of the lidded wicker basket
4. On top of the metal stool
",Inside the metal stool,Inside the lidded wicker basket,On top of the lidded wicker basket,On top of the metal stool,A,3,10,9,10,0.25,38757.05,42871.89,40065.65,38.75705,40.06565,4
gpt-4.1,05.1.0.0.b__c2,05.1.0.0.b,2,3,3,0,3,1,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a playstation from a shop in Rome. You heard that Kelly, a police officer, will soon arrive at your place. You want to hide the playstation so that Kelly won't see it when they arrive. 'I need to put the playstation in the location that will be least visible when Kelly enters the room,' you thought. You look around the room and see a wooden cabinet directly in front of the entrance and a side table with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the side table
2. On top of the side table
3. Inside the wooden cabinet
4. On top of the wooden cabinet
",Inside the side table,On top of the side table,Inside the wooden cabinet,On top of the wooden cabinet,B,0,10,9,10,0.7778,32663.764000000003,31424.9688,32540.628,32.663764,32.540628,4
gpt-4.1,05.1.0.0.b__c3,05.1.0.0.b,3,3,3,0,3,1,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a kindle from a shop in Atlanta. You heard that Rui, a police officer, will soon arrive at your place. You want to hide the kindle so that Rui won't see it when they arrive. You look around the room and see a large opaque lidded plastic box directly in front of the entrance and a wooden coffee table with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the wooden coffee table
2. On top of the large opaque lidded plastic box
3. Inside the large opaque lidded plastic box
4. On top of the wooden coffee table
",Inside the wooden coffee table,On top of the large opaque lidded plastic box,Inside the large opaque lidded plastic box,On top of the wooden coffee table,B,2,8,8,8,0.8333,36859.65,38237.1875,37805.5,36.85965,37.8055,4
gpt-4.1,05.1.0.0.b__c4,05.1.0.0.b,4,4,4,0,4,1,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a playstation from a shop in Damascus. You heard that Carlos, a police officer, will soon arrive at your place. You want to hide the playstation so that Carlos won't see it when they arrive. 'I wonder if I should have stolen the mobile phone,' you thought. You look around the room and see a wooden media cabinet directly in front of the entrance and a wooden coffee table with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the wooden coffee table
2. On top of the wooden media cabinet
3. On top of the wooden coffee table
4. Inside the wooden media cabinet
",Inside the wooden coffee table,On top of the wooden media cabinet,On top of the wooden coffee table,Inside the wooden media cabinet,B,3,10,9,10,1.0,29222.25,32581.67,29222.25,29.22225,29.22225,3
