item_instance_id,template_id,counterbalance,base_context,physical_subcategory,required_components,provided_components,novelty,causal_type,causal_direction,vignette,correct_answer_number,option_1,option_2,option_3,option_4,condition,inference_level
05.1.0.0.a__c1,05.1.0.0.a,1,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your neighbour, Nikhil, a pair of earbud headphones from a shop in Sevilla as today is their birthday. Nikhil is on their way back from The Works, and you want to display the pair of earbud headphones so that they can see them when they arrive, 'I wonder if I should have bought the gameboy,' you thought. You look around the room and see a metal filing cabinet directly in front of the entrance and a dining table with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. Inside the metal filing cabinet
2. Inside the dining table
3. On top of the metal filing cabinet
4. On top of the dining table
",3,Inside the metal filing cabinet,Inside the dining table,On top of the metal filing cabinet,On top of the dining table,A,3
05.1.0.0.a__c2,05.1.0.0.a,2,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your colleague, Chiara, a satchel from a shop in Belo Horizonte as tomorrow is their birthday. Chiara is on their way back from the coffee shop, and you want to hide the satchel so that they won't see it when they arrive. 'I need to put the satchel in the location that will be least visible when Chiara enters the room,' you thought. You look around the room and see a lidded wooden box directly in front of the entrance and a wooden bench with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. Inside the lidded wooden box
2. On top of the wooden bench
3. Inside the wooden bench
4. On top of the lidded wooden box
",1,Inside the lidded wooden box,On top of the wooden bench,Inside the wooden bench,On top of the lidded wooden box,B,0
05.1.0.0.a__c3,05.1.0.0.a,3,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your partner, Anderson, a china bowl from a shop in Singapore as tomorrow is their birthday. Anderson is on their way back from the doctor's, and you want to hide the china bowl so that they won't see it when they arrive. You look around the room and see a shoe cabinet directly in front of the entrance and a desk with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. On top of the desk
2. Inside the desk
3. On top of the shoe cabinet
4. Inside the shoe cabinet
",4,On top of the desk,Inside the desk,On top of the shoe cabinet,Inside the shoe cabinet,B,2
05.1.0.0.a__c4,05.1.0.0.a,4,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your classmate, Frank, a nintendo from a shop in Hamburg as tomorrow is their birthday. Frank is on their way back from the book shop, and you want to hide the nintendo so that they won't see it when they arrive, 'I wonder if I should have bought the gameboy,' you thought. You look around the room and see a lidded wooden toy box directly in front of the entrance and a stone bench with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. On top of the lidded wooden toy box
2. On top of the stone bench
3. Inside the stone bench
4. Inside the lidded wooden toy box
",4,On top of the lidded wooden toy box,On top of the stone bench,Inside the stone bench,Inside the lidded wooden toy box,B,3
05.1.0.0.a__c5,05.1.0.0.a,5,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your grandparent, Khaled, a diamond necklace from a shop in Belo Horizonte as today is their birthday. Khaled is on their way back from River Island, and you want to display the diamond necklace so that they can see it when they arrive. 'I need to put the diamond necklace in the location that will be most visible when Khaled enters the room,' you thought. You look around the room and see a storage chest directly in front of the entrance and an end table with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. On top of the storage chest
2. Inside the end table
3. On top of the end table
4. Inside the storage chest
",1,On top of the storage chest,Inside the end table,On top of the end table,Inside the storage chest,A,0
05.1.0.0.a__c6,05.1.0.0.a,6,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You have just bought your child, Hayley, a gameboy from a shop in Pyongyang as today is their birthday. Hayley is on their way back from the bar, and you want to display the gameboy so that they can see it when they arrive. You look around the room and see a wooden TV cabinet directly in front of the entrance and a metal bar stool with no drawers or shelves tucked away in the corner of the room.  

Where should you place the gift?
1. Inside the metal bar stool
2. On top of the wooden TV cabinet
3. Inside the wooden TV cabinet
4. On top of the metal bar stool
",2,Inside the metal bar stool,On top of the wooden TV cabinet,Inside the wooden TV cabinet,On top of the metal bar stool,A,2
05.1.0.0.b__c1,05.1.0.0.b,1,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a satchel from a shop in Chicago. You heard that Gianluca, your partner, will soon arrive at your place. You want to display the satchel so that Gianluca can see it when they arrive. 'I wonder if I should have stolen the gameboy,' you thought. You look around the room and see a lidded wicker basket directly in front of the entrance and a metal stool with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the metal stool
2. Inside the lidded wicker basket
3. On top of the lidded wicker basket
4. On top of the metal stool
",3,Inside the metal stool,Inside the lidded wicker basket,On top of the lidded wicker basket,On top of the metal stool,A,3
05.1.0.0.b__c2,05.1.0.0.b,2,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a playstation from a shop in Rome. You heard that Kelly, a police officer, will soon arrive at your place. You want to hide the playstation so that Kelly won't see it when they arrive. 'I need to put the playstation in the location that will be least visible when Kelly enters the room,' you thought. You look around the room and see a wooden cabinet directly in front of the entrance and a side table with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the side table
2. On top of the side table
3. Inside the wooden cabinet
4. On top of the wooden cabinet
",3,Inside the side table,On top of the side table,Inside the wooden cabinet,On top of the wooden cabinet,B,0
05.1.0.0.b__c3,05.1.0.0.b,3,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a kindle from a shop in Atlanta. You heard that Rui, a police officer, will soon arrive at your place. You want to hide the kindle so that Rui won't see it when they arrive. You look around the room and see a large opaque lidded plastic box directly in front of the entrance and a wooden coffee table with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the wooden coffee table
2. On top of the large opaque lidded plastic box
3. Inside the large opaque lidded plastic box
4. On top of the wooden coffee table
",3,Inside the wooden coffee table,On top of the large opaque lidded plastic box,Inside the large opaque lidded plastic box,On top of the wooden coffee table,B,2
05.1.0.0.b__c4,05.1.0.0.b,4,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a playstation from a shop in Damascus. You heard that Carlos, a police officer, will soon arrive at your place. You want to hide the playstation so that Carlos won't see it when they arrive. 'I wonder if I should have stolen the mobile phone,' you thought. You look around the room and see a wooden media cabinet directly in front of the entrance and a wooden coffee table with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the wooden coffee table
2. On top of the wooden media cabinet
3. On top of the wooden coffee table
4. Inside the wooden media cabinet
",4,Inside the wooden coffee table,On top of the wooden media cabinet,On top of the wooden coffee table,Inside the wooden media cabinet,B,3
